Yi	ni	x1i	x2i
185.86	26	0.115	0
208.21	9	0.222	0
53.64	22	0	0.273
67.36	24	0	0.167
74.92	27	0	0
42.65	6	0.167	0.667
69.13	28	0	0.036
83.01	24	0.583	0
241.36	17	0.176	0
214.48	28	0.107	0
53.63	21	0	0.238
58.76	27	0	0.185
67.79	31	0	0.129
47.91	16	0	0.063
61.24	26	0.154	0.038
66	6	0	0.167
67.65	28	0	0
87.72	11	0	0.091
66.11	19	0	0.105
69.93	13	0.077	0.231
61.01	19	0	0.211
62.3	29	0	0.207
60.34	19	0	0.368
59.47	39	0	0.385
67.49	74	0.392	0.054
41.81	9	0	0.333
57.21	12	0	0.083
59.23	33	0	0.091
67.46	26	0	0.077
74.61	37	0.054	0.081
144.01	36	0	0
57.64	27	0	0.259
59.98	15	0	0.067
49.6	11	0.091	0.182
65.99	14	0	0.143
62.54	30	0	0.033
70.82	52	0.615	0.077
55.3	25	0	0.16
66.35	24	0.042	0
72.17	56	0	0.018
78.71	92	0.826	0
84.27	16	0	0.063
75.92	87	0.517	0.057
67.51	15	0	0
80.35	22	0	0
57.12	50	0	0.12
58.95	19	0	0.053
102.53	32	0.313	0.063
87.58	33	0	0.061
61.83	29	0	0.207
65.76	22	0.091	0.091
129.87	20	0.1	0
69	41	0.024	0
79.48	58	0.552	0.069
90.11	30	0	0.033
72.07	26	0	0.154
63.03	42	0.048	0.19
121.05	40	0	0.025
64.62	13	0	0.231
73.31	24	0	0.083
68.71	24	0	0.167
61.62	16	0	0.125
59.29	22	0	0.045
67.23	21	0	0.095
62.15	26	0	0.269
86.93	15	0	0
80.5	23	0	0.043
51.28	5	0	0.4
73.62	29	0	0.034
74.36	15	0	0.067
70.31	12	0	0.25
58.89	15	0	0.733
109.82	28	0.143	0.036
58.33	12	0.083	0.25
71.23	59	0.356	0.102
62.36	47	0	0.191
78.15	19	0	0
67.18	18	0	0.111
65.57	28	0	0.107
57.74	21	0	0.19
57.4	36	0	0.028
81.29	12	0	0.083
191.84	38	0.184	0.026
58.53	36	0	0.194
69.55	12	0	0
73.34	33	0	0.121
66.09	33	0	0.061
73.63	46	0	0
86.6	48	0	0.021
66.44	29	0	0.034
86.2	30	0.167	0.033
78.44	25	0	0.08
60.4	36	0	0.306
78.65	38	0.053	0.026
66.92	27	0	0.148
74.09	30	0	0.033
61.13	26	0	0.154
63.96	30	0	0.033
65.24	27	0	0.074
63.58	29	0	0.103
88.84	135	0.533	0.052
69.77	36	0.028	0
84.49	23	0	0.13
113.41	32	0	0
70.07	43	0.023	0.093
83.64	17	0	0.059
62.09	16	0	0.063
80	51	0.098	0.118
62.25	26	0	0.231
63.09	28	0	0.036
58.05	28	0	0.143
84.31	12	0	0.167
64.86	28	0	0.179
71.25	35	0.2	0
51.5	13	0	0.462
184.4	52	0	0.058
56.26	20	0	0.25
108.03	21	0	0.048
88.03	26	0	0.038
68.32	6	0.167	0
64.72	19	0.105	0.105
59.92	15	0	0.2
58.25	32	0	0.281
66.92	32	0.031	0.344
45.51	10	0	0.6
61.64	44	0.045	0.227
54.18	27	0	0.185
60.51	43	0	0.093
59.41	17	0	0.176
121.89	54	0.056	0
54.83	20	0	0.25
200.64	19	0.158	0
69.04	18	0	0.111
65.75	48	0.458	0.104
73.3	42	0.024	0.071
208.23	36	0.167	0
69	40	0.225	0.125
32.84	7	0	0.143
145.36	52	0.5	0.058
72.32	5	0	0.2
96.4	18	0	0
65.15	32	0	0.063
71.63	25	0	0
147.81	28	0.036	0
65.4	25	0	0.12
59.56	31	0	0.323
74.82	41	0.22	0.073
81.89	52	0.212	0.019
83.33	25	0	0
64.97	28	0.036	0.143
69.33	57	0	0.175
55.43	37	0	0.216
69.83	25	0	0.08
69.96	25	0.04	0.04
76.57	34	0.265	0.059
50.44	24	0	0.125
80.82	29	0	0.069
85.5	29	0	0
154.98	22	0.136	0.182
67.56	35	0	0.229
57.47	28	0	0.357
73.17	25	0.04	0.16
52.83	22	0	0.273
98.61	41	0	0.049
62.46	16	0	0.25
77.42	13	0.077	0.077
64.87	12	0	0.083
86.37	37	0	0.027
64.06	72	0.042	0.153
62.96	52	0	0.038
62.44	42	0	0.095
68.26	29	0	0.103
60.78	46	0.043	0.109
64.19	19	0	0.105
63.65	41	0	0.098
82.76	77	0.442	0.104
76.23	19	0	0.053
76.01	32	0	0.063
101.54	15	0	0
73.11	24	0.042	0.125
66.07	32	0	0
68.69	39	0	0.154
68.1	29	0	0.138
73.48	9	0	0.111
68.23	16	0	0.063
70.69	22	0	0.091
64.1	35	0	0.171
95.95	28	0	0.036
55.79	58	0.034	0.414
76.5	38	0.053	0.132
216.08	27	0.037	0
59.53	31	0	0.065
68.54	32	0	0.063
85.28	23	0	0.043
66.46	37	0	0.081
172.06	99	0.384	0.071
70.09	15	0	0.133
93.48	19	0.158	0.053
63.8	21	0	0.238
178.06	39	0.385	0
59.76	37	0	0.297
74	22	0	0.091
65.11	22	0	0.045
135.94	37	0.027	0.027
91.85	32	0.031	0.031
63.96	16	0	0
86.57	26	0	0.115
251.57	40	0.075	0.025
59.58	13	0	0
63.19	30	0	0.2
57.93	42	0	0.071
53.91	7	0	0.429
69.41	72	0.306	0.028
72.89	22	0	0.091
65.77	28	0	0.036
61.14	24	0	0.042
65.84	47	0.043	0.128
58.01	10	0	0.4
60.48	30	0	0.133
74.33	38	0	0.026
130.7	57	0.491	0.018
72.14	51	0.02	0.039
75.41	17	0	0
69.17	26	0	0.115
70.53	38	0	0.079
75.87	13	0	0.077
78.49	35	0.2	0.057
64.04	22	0	0.318
69.67	27	0	0.111
71.08	25	0	0.04
113.17	36	0.083	0
63.16	61	0.311	0.066
61.59	48	0.063	0.125
59.92	20	0	0.1
78.97	9	0	0.111
70.22	45	0	0.044
170.66	39	0.154	0
87.3	31	0	0.097
60.42	76	0.25	0.039
67.44	37	0.027	0
54.39	47	0	0.17
40.69	6	0	0.667
72.14	9	0	0
63.2	54	0	0.167
71.39	43	0	0.163
110.15	76	0.25	0.105
67.06	57	0.018	0.053
74.03	47	0.043	0.085
128.21	29	0	0.034
60.46	40	0.025	0.3
61.05	16	0.063	0.188
62.2	26	0	0.115
72.7	43	0	0.047
58.64	9	0	0.222
60.45	30	0	0.1
73.53	29	0.241	0.207
73.95	33	0.303	0.091
69.8	63	0.032	0.127
64.68	25	0	0.16
111.21	62	0	0.113
61.66	55	0	0.145
55.74	16	0	0.25
100.13	47	0	0.021
67.11	11	0	0.091
67.46	28	0	0.071
103.97	119	0.412	0.008
211.12	26	0.115	0
82.28	29	0	0
72.85	78	0.09	0.013
65.8	39	0	0.154
75.01	40	0	0
51.33	55	0	0.073
61.02	34	0	0.147
66.63	21	0	0
62	18	0	0.056
70.15	43	0	0.07
70.89	14	0	0.286
73.64	35	0	0.057
35.31	13	0	0.385
79.59	92	0.283	0.033
61.76	17	0.059	0.059
65.64	90	0.389	0.178
76.44	27	0.111	0.148
219.55	62	0.145	0.016
68.28	20	0	0.1
60.72	76	0.092	0.132
37.84	10	0.1	0.2
75.17	37	0	0.054
57.12	26	0	0.269
59.11	52	0	0.154
72.05	55	0	0.036
63.28	19	0	0.053
74.36	86	0.267	0.012
51.2	15	0.067	0.067
88.04	72	0.5	0
106.55	29	0	0
60.83	15	0.333	0.2
67.88	49	0.204	0.143
76.76	222	0.604	0.018
95.79	60	0	0.017
104.39	42	0	0.024
70.75	59	0	0.085
62.09	28	0	0.143
64.24	40	0	0
73.93	34	0	0.029
106.29	17	0	0
62.04	8	0	0.25
71.98	37	0.216	0
54.89	56	0.036	0.411
59.99	64	0	0.219
67.95	61	0.016	0.246
60.5	28	0	0.179
63.07	41	0	0.049
48.67	26	0	0.423
65.5	42	0	0.095
55.38	47	0	0.34
60.41	49	0	0.041
142.1	30	0.133	0.033
60.84	59	0	0.153
63.63	34	0.029	0.118
64.74	64	0	0.203
71.45	42	0	0.095
89.64	84	0.381	0.083
71.8	56	0.321	0.071
74.4	73	0	0
61.13	46	0	0.043
77.38	35	0	0.086
61.76	41	0	0.024
58.13	80	0.05	0.188
57.81	47	0	0.043
76.79	36	0	0.056
172.77	61	0.279	0
66.8	74	0.054	0.122
68.27	78	0.051	0
70.57	68	0.015	0.103
73.67	65	0.246	0.231
61.87	48	0	0.104
87.35	26	0	0
69.6	40	0	0.125
77.23	50	0	0.06
75.98	17	0.059	0.235
60.1	50	0	0.2
71.3	33	0	0.061
79.15	119	0.462	0.034
56.81	22	0.045	0.227
66.79	22	0.091	0.182
123.23	53	0	0
63.78	58	0	0.138
57.99	10	0	0.3
57.07	38	0	0.158
53.48	28	0	0.357
71.39	52	0.019	0.058
72.62	40	0	0.2
192.04	54	0.037	0.019
66.74	33	0	0.121
62.87	36	0	0.139
72.59	29	0	0.034
97.73	47	0	0
63.62	51	0.02	0.059
64.46	47	0.021	0.128
76.12	45	0	0.044
75.95	47	0	0.085
63.75	42	0	0.119
59.08	29	0.034	0.345
70.98	36	0.028	0.028
70.05	89	0.281	0.011
87.94	86	0.012	0.081
63.71	59	0.034	0.339
70.94	34	0	0.029
51.6	17	0.059	0.353
69.98	49	0	0.041
73.03	73	0	0.082
43.19	5	0	0.4
206.49	83	0.108	0.036
78.99	62	0	0.145
72.64	37	0	0
61.78	32	0	0.219
183.44	45	0.156	0.022
60.06	56	0	0.143
88.23	43	0	0
71.16	48	0	0.042
108.31	35	0	0.029
51.51	18	0.056	0.333
55.87	38	0	0.237
64.74	62	0.032	0.081
71.76	56	0.018	0.036
74.39	45	0	0
65.53	60	0.15	0.083
46.31	9	0.111	0.444
112.5	43	0	0.023
67.46	73	0	0.027
67.69	23	0	0.217
66.23	67	0.209	0.119
75.48	57	0	0
82.34	47	0	0.064
70.81	73	0.096	0.082
64.93	53	0	0.019
75.07	40	0	0
75.6	137	0.635	0.015
85.34	40	0	0
66.91	75	0.04	0.267
74.43	58	0	0.086
74.25	37	0	0.189
56.76	25	0	0.12
58.64	21	0	0.095
70.82	33	0	0.061
77.72	9	0.111	0.222
66.15	54	0	0.037
71.11	48	0	0.146
66.94	66	0	0.061
56.21	9	0.111	0.222
71.46	29	0.034	0.172
94.76	62	0	0.048
67.85	34	0	0.206
58.63	48	0	0.25
63.11	82	0	0.159
52.52	62	0.016	0.065
73.24	51	0	0.02
64.3	32	0	0.094
68.99	17	0	0.118
67.99	59	0.017	0.051
68.47	55	0	0
66.07	91	0.11	0.209
61.25	31	0	0.29
80.11	95	0.051	0.089
71.6	43	0.023	0.116
64.27	75	0	0.08
70.01	48	0	0.083
62.8	80	0.2	0.1
100.86	57	0.018	0
79.32	40	0	0
60.11	91	0.231	0.11
59.44	56	0.018	0.161
133.5	65	0.062	0.031
80.74	56	0	0.018
57.6	53	0.019	0.17
222.02	36	0.083	0
103.73	40	0.025	0.05
59.1	61	0	0.262
75.79	42	0	0.167
67.04	51	0	0.216
70.41	48	0	0.021
64.83	59	0	0.119
65.81	68	0.015	0.044
54.56	70	0	0.3
67.44	83	0.072	0.133
64.79	55	0	0.036
85.91	66	0.015	0
63.22	44	0	0.227
71.39	58	0	0.052
56.94	37	0.027	0.135
76.87	56	0.036	0.071
65.29	35	0.029	0.114
73.71	88	0	0.023
34.92	16	0	0.438
60.5	37	0	0.054
57.41	20	0	0.2
57.76	47	0	0.149
84	121	0.446	0.058
69.84	86	0	0.174
67.15	52	0	0
83.11	119	0.218	0.025
55.82	67	0	0.239
64.88	82	0	0.098
68.25	60	0.017	0.05
75.23	42	0.024	0.048
119.72	58	0	0.017
62.58	55	0	0.109
61.28	12	0	0.167
72.38	121	0	0.041
60.47	69	0	0.13
64.41	80	0	0.125
247.58	60	0.15	0.017
60.7	60	0	0.217
63.76	55	0.018	0.055
62.48	74	0.027	0.216
54.17	18	0.056	0.167
172.57	39	0.077	0
93.3	49	0	0.041
69.05	68	0	0.103
67.38	102	0	0.039
57.3	13	0	0.077
60.85	94	0.074	0.181
67.41	35	0	0.171
59.03	82	0.049	0.085
65.3	53	0	0.151
59.62	86	0.012	0.221
250.4	66	0.197	0
79.08	83	0	0.012
47.13	25	0	0.32
319.75	68	0.103	0
74.52	36	0.139	0.167
66.51	42	0	0.095
62.39	10	0	0.1
64.18	56	0	0.125
63.81	25	0	0.24
62.66	67	0	0.119
65.55	127	0.252	0.118
55.52	99	0.01	0.061
60.87	109	0.128	0.174
65.45	79	0	0.19
77.32	95	0	0.084
66.74	27	0	0.185
62.14	19	0.105	0.105
73.54	34	0	0.265
71.07	89	0.067	0.09
82.24	247	0.543	0.032
45.3	23	0	0.348
140.45	104	0	0.029
59.11	47	0	0.255
95.48	139	0.36	0.151
149.37	90	0.067	0.022
66.3	109	0	0.018
62.29	141	0.149	0.121
63.64	66	0	0.182
74.09	181	0.315	0.066
78.85	95	0.011	0.011
66.99	77	0	0.026
64.81	64	0	0.078
94.05	145	0.055	0.021
63.76	67	0	0.045
65.2	106	0	0.066
61.36	139	0.043	0.525
80.95	134	0.007	0.015
61.67	63	0	0.127
58.28	107	0	0.252
68.18	42	0	0.214
74.67	92	0.011	0.065
61.03	116	0.009	0.172
58.14	98	0	0.194
64.28	99	0	0.101
65.09	90	0.044	0.056
67.98	39	0	0.231
58.02	109	0	0.128
77.38	115	0	0.052
72.69	186	0.28	0.065
83.33	129	0.295	0
81.02	134	0.276	0.052
58.73	81	0	0.037
69.49	107	0	0.047
61.35	107	0	0.056
48.04	29	0.034	0.31
75.69	101	0.069	0.059
63.14	99	0	0.162
48.83	25	0	0.44
62.13	87	0.011	0.23
134.49	98	0	0.02
64.34	56	0	0.196
41.42	45	0	0.133
83.39	225	0.293	0.022
68.04	111	0.009	0.045
75.17	36	0	0.167
83.63	60	0	0.05
71.85	121	0.008	0.041
77.2	66	0.076	0.258
56.06	87	0	0.138
64.73	69	0.014	0.145
62.54	102	0	0.196
67.09	92	0.011	0.011
63.11	85	0	0.153
70.53	9	0	0.222
49.96	12	0	0.167
48.04	34	0	0.382
91.23	278	0.371	0.022
51.76	50	0.02	0.2
68.67	99	0	0.02
51.75	37	0	0.351
60.03	85	0	0.318
63.26	36	0.028	0.25
82.93	238	0.202	0.029
65.36	81	0	0.173
75.43	79	0	0.038
55.3	81	0.012	0.296
72.79	38	0	0.079
68.12	97	0	0.144
63.38	213	0.254	0.117
57.19	115	0.009	0.13
81.4	297	0.529	0.044
59.12	141	0.007	0.156
70.15	132	0.03	0.068
57.36	75	0	0.253
62.25	109	0.009	0.202
128.79	109	0.046	0.009
72.61	45	0.022	0.133
96.58	31	0	0.097
61.76	156	0	0.077
86.1	281	0.733	0.028
61.05	129	0	0.054
57.74	81	0	0.259
68.31	153	0	0.052
80.53	219	0.009	0.055
67.18	146	0	0.11
70.49	93	0	0.032
76.78	118	0.008	0.102
84.96	47	0	0.085
84.25	155	0.006	0.084
166.05	278	0.36	0.036
72.82	261	0.031	0.057
110.94	301	0.023	0.047
53.83	27	0.963	0
61.36	24	1	0
72.98	76	0.868	0.039
73.16	17	0.941	0
74.36	31	0	0.097
75.37	11	0.818	0.091
77.27	17	0.882	0.059
79.62	28	0.714	0.179
82.47	16	1	0
84.17	9	0.889	0.111
90.88	26	0.923	0
92.06	6	1	0
115.28	5	1	0
121.7	19	1	0
121.81	11	1	0
125.86	9	1	0
134.09	12	1	0
148.67	26	0.885	0
155.22	5	1	0
19.92	7	0	0.714
20.83	41	0.024	0.756
20.83	9	0	0.667
21.63	13	0.077	0.923
24.51	22	0	0.727
24.55	9	0	0.556
25.69	30	0	0.733
28.31	8	0	0.5
30.37	73	0.014	0.795
37	10	0	0.5
48.37	5	0	0.2
54.52	36	0.889	0
56.06	15	1	0
56.33	28	0.964	0.036
60.14	13	0.692	0
60.53	24	0.958	0
60.75	172	0	0.122
60.86	16	0.875	0.125
61.4	74	0.649	0.027
62.32	9	0.889	0.111
63.04	5	0.4	0
64.35	16	0	0.125
64.49	19	0.895	0
64.53	21	0.905	0
64.79	21	0	0.19
64.93	10	1	0
64.95	19	0.737	0
65.38	10	1	0
65.75	31	1	0
65.79	13	0.846	0.077
67.96	61	0.869	0.016
68.35	21	1	0
68.39	21	0.952	0
69.27	14	1	0
69.34	32	0.844	0.031
69.58	10	1	0
69.75	24	1	0
70.11	12	0.833	0
70.26	21	0	0.095
70.35	26	0.962	0
70.48	59	0.966	0
70.56	6	0.833	0
71.21	18	0.722	0
71.24	27	0.963	0
71.35	76	0.974	0
71.66	23	1	0
71.86	43	0.977	0
72.26	13	0.923	0
72.29	19	1	0
72.31	35	0.886	0.057
72.32	139	0.676	0.043
72.35	9	0.889	0
72.39	31	0.871	0.032
72.48	11	0.909	0
72.65	20	0.1	0.2
72.79	18	0.944	0.056
72.93	58	0.879	0.017
73.48	5	0	0
73.75	27	0.963	0
73.94	23	1	0
73.99	15	0.867	0
74.3	33	0.636	0.061
74.69	55	0.927	0
75.29	13	0.923	0
75.33	33	0.667	0.03
75.33	8	0.625	0.125
75.34	11	1	0
75.52	9	0.889	0
75.65	19	0.842	0
76.01	18	0.833	0.111
76.02	104	0.019	0.019
76.23	34	0.941	0.029
76.29	6	1	0
76.72	46	0.978	0
76.94	23	0.957	0
77.09	17	0.824	0.118
77.22	27	0.852	0
77.64	5	1	0
77.66	9	0.889	0.111
77.74	53	0.962	0.038
78.27	6	1	0
78.6	138	0.616	0.007
78.87	30	0.7	0.133
78.92	20	0.7	0
78.92	22	1	0
79.44	35	0.943	0
79.61	23	0.87	0.043
79.7	7	0.714	0.143
79.76	29	0.966	0.034
80	20	0.85	0
80.54	8	0.5	0
81.14	31	0.935	0
81.28	59	1	0
81.43	7	0.857	0
83.02	14	0.929	0.071
83.07	19	1	0
83.31	15	1	0
84.06	75	0.933	0.027
84.16	144	0.806	0.021
84.39	39	0.897	0
84.71	23	0.957	0
85	8	0.75	0.125
85.9	10	0.9	0
86.41	10	0.7	0.1
86.83	28	0.821	0
87.14	10	0.7	0
87.8	34	0.912	0.088
88.07	7	0.571	0.143
89.61	22	1	0
90.11	19	0.947	0
92.16	39	0.846	0
92.43	23	1	0
92.75	8	0.25	0
94.95	5	0.4	0.4
95.39	18	0.833	0
97.34	133	0.752	0.03
98.15	17	0.941	0
100.47	22	0.909	0
101.4	17	0.588	0.059
111.61	7	0	0
113.71	5	0.6	0
114.69	11	1	0
118.59	9	0.667	0
138.69	29	0.897	0
187.77	7	1	0
214.68	27	0.333	0
			
